Date,Description,Amount
01/01/2022,Rent,-1062.22
03/01/2022,Electricity bill,-113.85
03/01/2022,Cinema,-17.2
05/01/2022,Internet,-48.62
07/01/2022,Phone,-34.92
10/01/2022,Salary,2188.24
11/01/2022,Big shopping,-493.23
12/01/2022,Grocery,-70.58
15/01/2022,Big shopping,-409.15
16/01/2022,Restaurant,-23.84
17/01/2022,Big shopping,-373.33
19/01/2022,Luxury dinner,-205.88
22/01/2022,Luxury dinner,-495.81
24/01/2022,Cinema,-16.3
25/01/2022,Salary,2143.99
25/01/2022,Big shopping,-313.09
25/01/2022,Big shopping,-542.92
