Date,Description,Amount
01/03/2022,Rent,-1043.12
03/03/2022,Electricity bill,-101.71
05/03/2022,Internet,-36.66
07/03/2022,Phone,-36.95
09/03/2022,Transport,-40.21
10/03/2022,Salary,2283.59
10/03/2022,Bonus,793.23
11/03/2022,Big shopping,-300.26
13/03/2022,Luxury dinner,-309.11
14/03/2022,Restaurant,-82.81
15/03/2022,Cinema,-16.38
15/03/2022,Luxury dinner,-480.66
20/03/2022,Transport,-54.69
20/03/2022,Big shopping,-550.65
21/03/2022,Cinema,-12.47
22/03/2022,Big shopping,-537.08
24/03/2022,Big shopping,-455.52
25/03/2022,Salary,2108.67
27/03/2022,Luxury dinner,-223.52
27/03/2022,Big shopping,-453.1
