Date,Description,Amount
01/05/2022,Rent,-1021.89
02/05/2022,Grocery,-52.65
03/05/2022,Electricity bill,-129.58
05/05/2022,Internet,-47.23
07/05/2022,Phone,-41.9
10/05/2022,Salary,2330.36
10/05/2022,Cinema,-11.68
12/05/2022,Luxury dinner,-383.81
12/05/2022,Luxury dinner,-293.08
14/05/2022,Big shopping,-531.5
16/05/2022,Grocery,-95.71
16/05/2022,Luxury dinner,-323.96
21/05/2022,Luxury dinner,-259.94
23/05/2022,Big shopping,-377.02
25/05/2022,Salary,2221.05
25/05/2022,Grocery,-75.56
25/05/2022,Luxury dinner,-332.33
26/05/2022,Big shopping,-530.27
