Date,Description,Amount
01/07/2022,Rent,-1070.4
03/07/2022,Electricity bill,-109.73
05/07/2022,Internet,-38.67
07/07/2022,Phone,-41.57
08/07/2022,Restaurant,-83.54
10/07/2022,Salary,2242.92
10/07/2022,Restaurant,-61.93
10/07/2022,Big shopping,-586.28
10/07/2022,Big shopping,-489.99
10/07/2022,Freelance project,1706.2
10/07/2022,Freelance project,1539.74
14/07/2022,Big shopping,-485.94
16/07/2022,Cinema,-12.95
19/07/2022,Big shopping,-330.19
24/07/2022,Luxury dinner,-292.33
24/07/2022,Luxury dinner,-404.54
25/07/2022,Salary,2221.52
25/07/2022,Luxury dinner,-362.76
27/07/2022,Luxury dinner,-236.31
