Date,Description,Amount
01/09/2022,Rent,-1192.33
02/09/2022,Transport,-50.73
03/09/2022,Electricity bill,-104.41
05/09/2022,Internet,-39.88
07/09/2022,Phone,-38.37
10/09/2022,Salary,2078.39
10/09/2022,Big shopping,-534.69
11/09/2022,Luxury dinner,-203.27
11/09/2022,Luxury dinner,-290.62
12/09/2022,Big shopping,-310.77
14/09/2022,Grocery,-69.62
15/09/2022,Big shopping,-452.07
17/09/2022,Bonus,764.93
20/09/2022,Big shopping,-511.64
21/09/2022,Restaurant,-83.78
21/09/2022,Big shopping,-547.47
23/09/2022,Luxury dinner,-377.08
25/09/2022,Salary,2438.91
25/09/2022,Cinema,-11.56
26/09/2022,Cinema,-18.58
26/09/2022,Luxury dinner,-254.63
