Date,Description,Amount
01/10/2022,Rent,-1016.38
03/10/2022,Electricity bill,-115.2
05/10/2022,Internet,-47.37
06/10/2022,Grocery,-91.68
07/10/2022,Phone,-36.35
09/10/2022,Grocery,-74.14
10/10/2022,Salary,2015.57
15/10/2022,Luxury dinner,-212.86
17/10/2022,Luxury dinner,-441.28
17/10/2022,Luxury dinner,-335.05
17/10/2022,Big shopping,-503.71
22/10/2022,Cinema,-11.88
23/10/2022,Grocery,-58.45
24/10/2022,Big shopping,-564.0
25/10/2022,Salary,2467.7
25/10/2022,Luxury dinner,-375.75
25/10/2022,Luxury dinner,-338.86
27/10/2022,Cinema,-14.0
28/10/2022,Big shopping,-537.28
