Date,Description,Amount
01/11/2022,Rent,-1022.25
01/11/2022,Grocery,-69.48
02/11/2022,Grocery,-83.26
03/11/2022,Electricity bill,-112.71
05/11/2022,Internet,-36.27
07/11/2022,Phone,-34.08
09/11/2022,Transport,-40.07
09/11/2022,Cinema,-10.62
10/11/2022,Salary,2334.09
13/11/2022,Big shopping,-401.23
16/11/2022,Transport,-58.38
21/11/2022,Luxury dinner,-415.06
21/11/2022,Luxury dinner,-202.98
21/11/2022,Big shopping,-588.58
23/11/2022,Big shopping,-433.99
24/11/2022,Big shopping,-598.6
25/11/2022,Salary,2238.02
