Date,Description,Amount
01/12/2022,Rent,-1129.07
03/12/2022,Electricity bill,-112.56
05/12/2022,Internet,-42.56
07/12/2022,Phone,-35.37
10/12/2022,Salary,2223.99
10/12/2022,Transport,-58.68
12/12/2022,Grocery,-69.06
15/12/2022,Luxury dinner,-369.73
17/12/2022,Grocery,-88.35
17/12/2022,Bonus,984.93
17/12/2022,Big shopping,-306.58
18/12/2022,Luxury dinner,-477.92
19/12/2022,Luxury dinner,-479.58
21/12/2022,Grocery,-61.8
21/12/2022,Luxury dinner,-440.73
24/12/2022,Luxury dinner,-315.58
25/12/2022,Salary,2386.61
26/12/2022,Grocery,-93.39
26/12/2022,Big shopping,-412.82
