Date,Description,Amount
01/01/2022,Rent,-1189.13
01/01/2022,Restaurant,-38.12
02/01/2022,Grocery,-80.27
02/01/2022,Transport,-42.74
03/01/2022,Electricity bill,-100.51
04/01/2022,Restaurant,-77.34
05/01/2022,Internet,-35.16
06/01/2022,Restaurant,-46.53
07/01/2022,Phone,-43.89
07/01/2022,Cinema,-16.3
10/01/2022,Salary,2249.84
11/01/2022,Grocery,-75.22
12/01/2022,Restaurant,-32.11
15/01/2022,Grocery,-73.69
16/01/2022,Cinema,-12.14
17/01/2022,Transport,-45.31
18/01/2022,Transport,-41.66
18/01/2022,Restaurant,-75.24
19/01/2022,Cinema,-17.01
20/01/2022,Cinema,-15.53
22/01/2022,Grocery,-58.27
22/01/2022,Grocery,-56.41
23/01/2022,Grocery,-76.15
23/01/2022,Cinema,-31.82
25/01/2022,Salary,2013.0
25/01/2022,Restaurant,-44.44
25/01/2022,Restaurant,-43.15
26/01/2022,Cinema,-10.68
26/01/2022,Restaurant,-38.38
27/01/2022,Transport,-74.26
27/01/2022,Cinema,-23.5
28/01/2022,Restaurant,-35.73
