Date,Description,Amount
01/02/2022,Rent,-1036.8
01/02/2022,Cinema,-23.11
03/02/2022,Electricity bill,-125.9
04/02/2022,Transport,-58.58
04/02/2022,Restaurant,-28.64
05/02/2022,Internet,-40.81
05/02/2022,Grocery,-82.15
06/02/2022,Transport,-73.14
07/02/2022,Phone,-38.41
07/02/2022,Cinema,-24.04
09/02/2022,Restaurant,-22.53
10/02/2022,Salary,2412.04
10/02/2022,Grocery,-83.38
10/02/2022,Transport,-82.16
11/02/2022,Transport,-44.92
11/02/2022,Cinema,-17.97
12/02/2022,Transport,-44.61
13/02/2022,Grocery,-60.54
13/02/2022,Restaurant,-47.79
13/02/2022,Restaurant,-37.07
14/02/2022,Transport,-46.77
17/02/2022,Cinema,-14.03
18/02/2022,Transport,-41.1
18/02/2022,Transport,-74.87
18/02/2022,Cinema,-11.08
18/02/2022,Restaurant,-34.63
19/02/2022,Cinema,-17.29
20/02/2022,Grocery,-93.41
21/02/2022,Grocery,-96.76
21/02/2022,Transport,-43.34
22/02/2022,Cinema,-15.68
25/02/2022,Salary,2486.51
25/02/2022,Transport,-75.19
26/02/2022,Grocery,-97.92
28/02/2022,Cinema,-18.06
28/02/2022,Restaurant,-23.19
