Date,Description,Amount
01/03/2022,Rent,-1130.97
01/03/2022,Grocery,-97.84
01/03/2022,Transport,-42.29
02/03/2022,Grocery,-90.43
02/03/2022,Grocery,-85.18
03/03/2022,Electricity bill,-109.43
04/03/2022,Cinema,-15.83
05/03/2022,Internet,-43.03
06/03/2022,Transport,-41.43
07/03/2022,Phone,-38.21
07/03/2022,Restaurant,-27.15
08/03/2022,Grocery,-58.25
08/03/2022,Cinema,-19.57
09/03/2022,Restaurant,-25.28
10/03/2022,Salary,2442.08
11/03/2022,Grocery,-57.56
12/03/2022,Transport,-49.57
14/03/2022,Cinema,-18.38
16/03/2022,Transport,-79.64
16/03/2022,Restaurant,-37.95
16/03/2022,Bonus,414.73
17/03/2022,Grocery,-67.07
17/03/2022,Grocery,-109.44
18/03/2022,Restaurant,-48.45
21/03/2022,Grocery,-90.6
25/03/2022,Salary,2049.64
25/03/2022,Cinema,-21.73
27/03/2022,Cinema,-15.1
27/03/2022,Restaurant,-34.49
28/03/2022,Grocery,-114.68
