Date,Description,Amount
01/04/2022,Rent,-1101.42
03/04/2022,Electricity bill,-127.12
03/04/2022,Restaurant,-26.67
03/04/2022,Restaurant,-30.83
05/04/2022,Internet,-39.24
05/04/2022,Transport,-47.8
05/04/2022,Cinema,-18.7
06/04/2022,Cinema,-39.91
07/04/2022,Phone,-30.98
07/04/2022,Grocery,-61.15
08/04/2022,Transport,-46.61
09/04/2022,Transport,-63.42
09/04/2022,Transport,-67.21
09/04/2022,Restaurant,-32.63
10/04/2022,Salary,2293.07
10/04/2022,Transport,-47.23
10/04/2022,Cinema,-17.26
10/04/2022,Restaurant,-88.25
11/04/2022,Grocery,-97.22
12/04/2022,Cinema,-11.36
13/04/2022,Restaurant,-28.4
14/04/2022,Cinema,-23.22
15/04/2022,Grocery,-83.34
16/04/2022,Transport,-47.63
16/04/2022,Restaurant,-25.51
18/04/2022,Grocery,-93.0
19/04/2022,Transport,-77.86
21/04/2022,Restaurant,-31.93
21/04/2022,Restaurant,-42.92
22/04/2022,Cinema,-15.12
23/04/2022,Cinema,-34.49
24/04/2022,Grocery,-119.46
25/04/2022,Salary,2053.91
28/04/2022,Transport,-48.77
28/04/2022,Transport,-73.73
28/04/2022,Cinema,-11.49
