Date,Description,Amount
01/05/2022,Rent,-1034.82
02/05/2022,Restaurant,-34.94
02/05/2022,Restaurant,-34.83
03/05/2022,Electricity bill,-109.65
03/05/2022,Cinema,-19.61
04/05/2022,Transport,-43.37
04/05/2022,Restaurant,-31.0
04/05/2022,Restaurant,-37.87
05/05/2022,Internet,-48.58
06/05/2022,Grocery,-151.25
06/05/2022,Grocery,-80.42
07/05/2022,Phone,-33.34
07/05/2022,Grocery,-134.81
07/05/2022,Restaurant,-22.88
09/05/2022,Restaurant,-30.15
10/05/2022,Salary,2113.97
12/05/2022,Transport,-48.2
14/05/2022,Grocery,-79.9
14/05/2022,Transport,-44.98
14/05/2022,Cinema,-18.22
16/05/2022,Grocery,-74.12
17/05/2022,Grocery,-74.09
17/05/2022,Cinema,-17.51
17/05/2022,Cinema,-10.68
18/05/2022,Grocery,-70.38
18/05/2022,Restaurant,-41.21
19/05/2022,Cinema,-15.15
20/05/2022,Grocery,-50.5
21/05/2022,Transport,-81.06
22/05/2022,Grocery,-155.06
22/05/2022,Restaurant,-35.06
23/05/2022,Grocery,-70.4
23/05/2022,Cinema,-19.15
25/05/2022,Salary,2493.33
25/05/2022,Transport,-40.54
26/05/2022,Transport,-74.52
27/05/2022,Cinema,-11.46
27/05/2022,Restaurant,-39.0
