Date,Description,Amount
01/06/2022,Rent,-1091.15
01/06/2022,Transport,-42.39
02/06/2022,Restaurant,-39.59
03/06/2022,Electricity bill,-125.73
04/06/2022,Grocery,-85.94
04/06/2022,Transport,-43.31
05/06/2022,Internet,-38.95
05/06/2022,Grocery,-75.79
05/06/2022,Restaurant,-25.1
07/06/2022,Phone,-40.58
07/06/2022,Cinema,-19.84
08/06/2022,Transport,-77.03
08/06/2022,Restaurant,-95.54
08/06/2022,Bonus,314.01
10/06/2022,Salary,2412.2
10/06/2022,Grocery,-98.32
10/06/2022,Transport,-44.72
10/06/2022,Cinema,-24.02
11/06/2022,Grocery,-79.99
11/06/2022,Restaurant,-44.94
11/06/2022,Restaurant,-47.85
12/06/2022,Grocery,-50.21
13/06/2022,Grocery,-78.86
14/06/2022,Restaurant,-45.63
15/06/2022,Grocery,-149.6
16/06/2022,Grocery,-83.94
17/06/2022,Restaurant,-35.63
19/06/2022,Restaurant,-35.49
21/06/2022,Grocery,-61.23
23/06/2022,Cinema,-17.81
24/06/2022,Grocery,-99.57
24/06/2022,Transport,-45.09
24/06/2022,Restaurant,-28.21
25/06/2022,Salary,2103.48
26/06/2022,Cinema,-13.18
27/06/2022,Cinema,-12.51
28/06/2022,Cinema,-13.7
