Date,Description,Amount
01/07/2022,Rent,-1002.41
01/07/2022,Grocery,-93.14
01/07/2022,Transport,-77.02
03/07/2022,Electricity bill,-117.53
03/07/2022,Restaurant,-35.45
04/07/2022,Cinema,-14.44
05/07/2022,Internet,-47.39
05/07/2022,Transport,-43.96
07/07/2022,Phone,-34.5
07/07/2022,Grocery,-69.36
07/07/2022,Transport,-65.9
07/07/2022,Restaurant,-28.0
09/07/2022,Transport,-43.8
10/07/2022,Salary,2179.49
10/07/2022,Restaurant,-39.21
11/07/2022,Grocery,-93.72
13/07/2022,Grocery,-70.2
13/07/2022,Restaurant,-41.33
14/07/2022,Cinema,-14.16
15/07/2022,Cinema,-17.48
16/07/2022,Transport,-43.13
18/07/2022,Transport,-61.93
18/07/2022,Cinema,-19.99
19/07/2022,Transport,-42.5
20/07/2022,Transport,-70.9
21/07/2022,Cinema,-14.92
23/07/2022,Transport,-41.27
23/07/2022,Restaurant,-34.48
23/07/2022,Restaurant,-37.96
23/07/2022,Restaurant,-73.22
25/07/2022,Salary,2292.9
25/07/2022,Grocery,-63.21
26/07/2022,Grocery,-64.62
27/07/2022,Grocery,-78.58
27/07/2022,Transport,-75.7
28/07/2022,Restaurant,-31.01
