Date,Description,Amount
01/08/2022,Rent,-1152.19
01/08/2022,Grocery,-86.43
03/08/2022,Electricity bill,-123.78
03/08/2022,Transport,-45.33
03/08/2022,Cinema,-13.2
03/08/2022,Restaurant,-20.79
05/08/2022,Internet,-41.66
05/08/2022,Transport,-46.19
05/08/2022,Cinema,-10.7
06/08/2022,Restaurant,-36.84
07/08/2022,Phone,-38.4
08/08/2022,Restaurant,-26.14
09/08/2022,Grocery,-79.36
09/08/2022,Transport,-47.38
10/08/2022,Salary,2006.37
10/08/2022,Transport,-67.63
11/08/2022,Cinema,-19.02
12/08/2022,Grocery,-79.95
12/08/2022,Transport,-48.43
12/08/2022,Cinema,-16.97
13/08/2022,Restaurant,-50.34
14/08/2022,Transport,-42.61
14/08/2022,Transport,-60.68
14/08/2022,Transport,-33.93
15/08/2022,Restaurant,-21.0
16/08/2022,Grocery,-88.38
18/08/2022,Cinema,-31.64
19/08/2022,Cinema,-15.93
19/08/2022,Cinema,-21.58
19/08/2022,Restaurant,-29.77
19/08/2022,Restaurant,-34.54
21/08/2022,Cinema,-10.11
25/08/2022,Salary,2212.57
25/08/2022,Cinema,-18.06
25/08/2022,Cinema,-17.72
25/08/2022,Restaurant,-22.66
26/08/2022,Grocery,-99.6
28/08/2022,Restaurant,-39.57
