Date,Description,Amount
01/09/2022,Rent,-1122.34
02/09/2022,Restaurant,-83.41
03/09/2022,Electricity bill,-123.85
03/09/2022,Transport,-46.12
05/09/2022,Internet,-38.42
07/09/2022,Phone,-31.73
07/09/2022,Grocery,-61.33
07/09/2022,Transport,-43.88
07/09/2022,Restaurant,-32.85
07/09/2022,Restaurant,-90.55
08/09/2022,Cinema,-11.69
08/09/2022,Bonus,809.12
09/09/2022,Grocery,-82.54
10/09/2022,Salary,2355.21
10/09/2022,Grocery,-72.84
10/09/2022,Restaurant,-37.74
12/09/2022,Restaurant,-72.24
14/09/2022,Cinema,-19.88
17/09/2022,Grocery,-87.55
17/09/2022,Cinema,-17.13
19/09/2022,Transport,-58.38
19/09/2022,Transport,-97.42
20/09/2022,Restaurant,-34.34
23/09/2022,Grocery,-62.49
23/09/2022,Grocery,-87.87
24/09/2022,Restaurant,-42.41
25/09/2022,Salary,2186.53
26/09/2022,Cinema,-18.43
28/09/2022,Transport,-45.06
