Date,Description,Amount
01/10/2022,Rent,-1018.0
01/10/2022,Transport,-94.15
01/10/2022,Cinema,-16.82
02/10/2022,Restaurant,-49.98
03/10/2022,Electricity bill,-118.15
05/10/2022,Internet,-37.9
05/10/2022,Restaurant,-38.55
06/10/2022,Restaurant,-39.34
07/10/2022,Phone,-42.04
08/10/2022,Grocery,-77.14
08/10/2022,Grocery,-98.94
08/10/2022,Cinema,-15.88
08/10/2022,Restaurant,-30.31
09/10/2022,Grocery,-57.9
10/10/2022,Salary,2053.38
11/10/2022,Transport,-49.83
12/10/2022,Grocery,-93.16
12/10/2022,Grocery,-87.58
12/10/2022,Restaurant,-44.61
15/10/2022,Cinema,-10.95
15/10/2022,Restaurant,-30.41
19/10/2022,Transport,-45.67
19/10/2022,Cinema,-16.43
20/10/2022,Grocery,-78.75
20/10/2022,Transport,-45.82
21/10/2022,Grocery,-70.49
22/10/2022,Grocery,-132.15
22/10/2022,Transport,-73.76
24/10/2022,Restaurant,-46.94
25/10/2022,Salary,2477.79
25/10/2022,Grocery,-51.31
25/10/2022,Cinema,-18.68
26/10/2022,Transport,-44.18
26/10/2022,Restaurant,-41.96
27/10/2022,Transport,-68.74
