Date,Description,Amount
01/11/2022,Rent,-1053.85
01/11/2022,Restaurant,-31.53
02/11/2022,Grocery,-96.84
02/11/2022,Cinema,-15.85
03/11/2022,Electricity bill,-123.27
03/11/2022,Grocery,-65.67
03/11/2022,Transport,-43.42
05/11/2022,Internet,-38.61
05/11/2022,Transport,-49.13
05/11/2022,Cinema,-12.24
05/11/2022,Cinema,-30.37
06/11/2022,Transport,-41.63
07/11/2022,Phone,-30.61
07/11/2022,Transport,-70.25
07/11/2022,Transport,-88.93
08/11/2022,Grocery,-56.01
08/11/2022,Restaurant,-45.68
08/11/2022,Restaurant,-57.22
09/11/2022,Restaurant,-36.46
10/11/2022,Salary,2214.39
10/11/2022,Transport,-46.56
10/11/2022,Transport,-69.81
10/11/2022,Cinema,-12.6
12/11/2022,Transport,-61.45
12/11/2022,Restaurant,-22.71
13/11/2022,Restaurant,-49.77
14/11/2022,Cinema,-21.34
15/11/2022,Grocery,-88.64
15/11/2022,Grocery,-86.54
16/11/2022,Grocery,-68.08
19/11/2022,Grocery,-69.46
19/11/2022,Restaurant,-39.27
20/11/2022,Transport,-43.34
24/11/2022,Cinema,-15.32
25/11/2022,Salary,2216.33
27/11/2022,Cinema,-17.15
28/11/2022,Transport,-62.61
28/11/2022,Cinema,-16.48
28/11/2022,Restaurant,-35.32
