Date,Description,Amount
01/12/2022,Rent,-1093.45
01/12/2022,Restaurant,-38.07
02/12/2022,Cinema,-11.24
02/12/2022,Cinema,-10.64
03/12/2022,Electricity bill,-119.19
04/12/2022,Cinema,-19.87
05/12/2022,Internet,-35.74
07/12/2022,Phone,-36.64
08/12/2022,Grocery,-145.78
09/12/2022,Grocery,-61.55
09/12/2022,Cinema,-19.15
10/12/2022,Salary,2422.84
10/12/2022,Bonus,933.77
13/12/2022,Transport,-46.46
13/12/2022,Restaurant,-47.7
14/12/2022,Cinema,-15.61
19/12/2022,Cinema,-30.19
20/12/2022,Transport,-53.14
20/12/2022,Cinema,-18.62
21/12/2022,Transport,-45.76
22/12/2022,Grocery,-91.03
23/12/2022,Grocery,-119.54
23/12/2022,Cinema,-19.33
24/12/2022,Restaurant,-25.89
25/12/2022,Salary,2235.26
25/12/2022,Grocery,-60.73
25/12/2022,Transport,-40.69
25/12/2022,Transport,-73.25
27/12/2022,Grocery,-59.08
27/12/2022,Grocery,-88.56
27/12/2022,Cinema,-31.19
28/12/2022,Restaurant,-28.07
